rel_path	override_collection
items/ebfe/11e7e09c2a31c06d458d8e953fc5c2a8/UNT_089_IN_BDAR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/1225eaabed7c0f64b6a9e61769687b13/UNT096_IN_GBRR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/122f02d2a111ce28d8c9771afbe75898/UNT_067_in_PCW.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/12d94dec2bcd85c532bd1b0779df0765/UNT065_IN_CHCR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/12e6f692f81353df8e3a48798c577c19/BIG_WILLOW_CR_TRIB_12.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/13272540a3f7ab16fb20e66317bb3d45/Tributary_2_to_North_Cow_Bayou.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/13537d77a6c93387ddd028ab2e66fa8f/THOMAS_CREEK.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/13715bb4887e49cbdb8ea471e3fba7d7/WILHOIT_BRANCH.json	ble_11140101_Boisd_ArcIsland
items/ebfe/1391d3a5ab4eb14eda3f7a8cbeb38cf2/FISH_CREEK.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/139a540ea484297765b11ead6bb0a9f6/UNT_069_IN_TCRR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/13a1d858b22d718a8c1a7b1790ccc4d9/UNT_031_in_BCBC_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/13e2a536d706464ec10ce8ff5c50cadf/UNT_097_in_Cedar_Creek_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/142ba40de3c30c9804dfc8e1846866f4/UNT_166_in_Beason_Cr_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/144633768a019de417d1d80f694d50ef/UNT_008_in_BCBC_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/144a43416416087d462c167414890179/UNT045_IN_ISLB.json	ble_11140101_Boisd_ArcIsland
